PDB ID,Receptor chain,Ligand,Ligand chain,Ligand Number
117e,A,MN,A,1
117e,A,MN,A,2
117e,A,MN,A,3
117e,B,MN,B,1
117e,B,MN,B,2
117e,B,MN,B,3
117e,B,MN,B,4
121p,A,MG,A,1
12ca,A,ZN,A,1
1a0b,A,ZN,A,1
1a0c,A,CO,A,1
1a0c,A,CO,A,2
1a0c,B,CO,B,1
1a0c,B,CO,B,2
1a0c,C,CO,C,1
1a0c,C,CO,C,2
1a0c,D,CO,D,1
1a0c,D,CO,D,2
1a0d,A,MN,A,1
1a0d,A,MN,A,2
1a0d,B,MN,B,1
1a0d,B,MN,B,2
1a0d,C,MN,C,1
1a0d,C,MN,C,2
1a0d,D,MN,D,1
1a0d,D,MN,D,2
1a0e,A,CO,A,1
1a0e,A,CO,A,2
1a0e,D,CO,D,1
1a0e,D,CO,D,2
1a0j,A,CA,A,1
1a0o,A,MN,A,1
1a0o,C,MN,C,1
1a0o,E,MN,E,1
1a0o,G,MN,G,1
1a0q,H,ZN,H,1
1a0q,L,ZN,L,1
1a0s,P,CA,P,1
1a0s,Q,CA,Q,1
1a0s,R,CA,R,1
1a0t,P,CA,P,1
1a0t,Q,CA,R,1
1a0t,R,CA,Q,1
1a14,N,CA,N,1
1a16,A,MN,A,1
1a16,A,MN,A,2
1a1f,A,ZN,A,1
1a1f,A,ZN,A,2
1a1f,A,ZN,A,3
1a1g,A,ZN,A,1
1a1g,A,ZN,A,2
1a1g,A,ZN,A,3
1a1h,A,ZN,A,1
1a1h,A,ZN,A,2
1a1h,A,ZN,A,3
1a1i,A,ZN,A,1
1a1i,A,ZN,A,2
1a1i,A,ZN,A,3
1a1j,A,ZN,A,1
1a1j,A,ZN,A,2
1a1j,A,ZN,A,3
1a1k,A,ZN,A,1
1a1k,A,ZN,A,2
1a1k,A,ZN,A,3
1a1l,A,ZN,A,1
1a1l,A,ZN,A,2
1a1l,A,ZN,A,3
1a1r,A,ZN,A,1
1a1r,B,ZN,B,1
1a1t,A,ZN,A,1
1a1t,A,ZN,A,2
1a25,A,CA,A,1
1a25,A,CA,A,2
1a25,A,CA,A,3
1a25,B,CA,B,1
1a25,B,CA,B,2
1a25,B,CA,B,3
1a29,A,CA,A,1
1a29,A,CA,A,2
1a29,A,CA,A,3
1a29,A,CA,A,4
1a2b,A,MG,A,1
1a2p,C,ZN,C,1
1a2q,A,CA,A,1
1a2q,A,CA,A,2
1a2t,A,CA,A,1
1a2u,A,CA,A,1
1a2v,A,CU,A,1
1a2v,B,CU,B,1
1a2v,C,CU,C,1
1a2v,D,CU,F,1
1a2v,E,CU,E,1
1a2v,F,CU,D,1
1a2x,A,CA,A,1
1a2x,A,CA,A,2
1a3t,A,CA,A,1
1a3u,A,CA,A,1
1a3v,A,CA,A,1
1a3w,A,MN,A,1
1a3w,B,MN,B,1
1a3x,A,MN,A,1
1a3x,B,MN,B,1
1a42,A,ZN,A,1
1a47,A,CA,A,1
1a47,A,CA,A,2
1a49,A,MG,A,1
