pdb_id,chains,clusters,release_date
3cna,['A'],[12572],19761011
2cna,['A'],[12572],19770316
1tgb,['A'],[316],19790613
2sod,"['O', 'Y', 'B', 'G']","[1041, 1041, 1041, 1041]",19800507
1azu,['A'],[2567],19800926
1bp2,['A'],[3828],19810521
1tgc,['A'],[316],19820304
2ptn,['A'],[316],19820304
1tgt,['A'],[316],19820304
2tga,['A'],[316],19820304
3ptn,['A'],[316],19820304
2tgt,['A'],[316],19820304
5tln,['A'],[4381],19820526
4tln,['A'],[4381],19820526
3cpa,['A'],[2721],19820729
5cpa,['A'],[2721],19820729
4cpa,"['A', 'I', 'B', 'J']","[2721, 2721, 4165, 4165]",19820729
2sns,['A'],[2178],19820729
2taa,"['A', 'B', 'C']","[8593, 8593, 8593]",19821021
2atc,"['A', 'B']","[1241, 1242]",19821207
2tgp,"['Z', 'I']","[316, 5116]",19830118
1tpp,['A'],[316],19830118
3tpi,"['Z', 'I']","[316, 5116]",19830118
1tpo,['A'],[316],19830118
2ptc,"['E', 'I']","[316, 5116]",19830118
3ptb,['A'],[316],19830118
1tpa,"['E', 'I']","[316, 5116]",19830118
1tgs,"['Z', 'I']","[316, 840]",19830118
7tln,['A'],[4381],19830309
1p2p,['A'],[3828],19830915
3bp2,['A'],[3828],19830915
2cab,['A'],[5259],19840202
7adh,['A'],[4166],19840718
5adh,['A'],[4166],19840718
6adh,"['A', 'B']","[4166, 4166]",19840718
2tbv,"['A', 'B', 'C']","[8131, 8131, 8131]",19840720
5rxn,['A'],[4020],19850401
4rxn,['A'],[4020],19850401
4sbv,"['A', 'B', 'C']","[58, 58, 58]",19850717
4tpi,"['Z', 'I']","[316, 5116]",19851108
2tgd,['A'],[316],19860507
3icb,['A'],[292],19861024
5pcy,['A'],[54],19870115
6pcy,['A'],[54],19870115
2aza,"['A', 'B']","[2567, 2567]",19870115
4pcy,['A'],[54],19870115
1ton,['A'],[316],19880116
3est,['A'],[316],19880116
2prk,['A'],[2265],19880416
1sgt,['A'],[316],19880716
1cse,"['E', 'I']","[1055, 2265]",19880716
1sbc,['A'],[2265],19880716
4tnc,['A'],[1421],19880716
2trm,['A'],[316],19880716
1trm,"['A', 'B']","[316, 316]",19880716
3cln,['A'],[1421],19880716
2sec,"['E', 'I']","[1055, 2265]",19880907
2sni,"['E', 'I']","[1055, 2265]",19880907
5tnc,['A'],[1421],19881009
1paz,['A'],[667],19881009
4pfk,['A'],[4916],19890109
5tmn,['E'],[4381],19890109
1tlp,['E'],[4381],19890109
1prc,"['C', 'L', 'M', 'H']","[9559, 10450, 10450, 11392]",19890109
4tmn,['E'],[4381],19890109
1pfk,"['A', 'B']","[4916, 4916]",19890109
1tmn,['E'],[4381],19890109
3tmn,['E'],[4381],19890109
6tmn,['E'],[4381],19890109
2tmn,['E'],[4381],19890109
1rdg,['A'],[4020],19890419
2gls,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']","[9583, 9583, 9583, 9583, 9583, 9583, 9583, 9583, 9583, 9583, 9583, 9583]",19891015
1alc,['A'],[277],19891015
8adh,['A'],[4166],19891015
1tec,"['E', 'I']","[1055, 2265]",19891015
3ca2,['A'],[5259],19900115
2ca2,['A'],[5259],19900115
1tld,['A'],[316],19900115
1ca2,['A'],[5259],19900115
3p2p,"['A', 'B']","[3828, 3828]",19900115
4xia,"['A', 'B']","[2357, 2357]",19900415
5xia,"['A', 'B']","[2357, 2357]",19900415
4sgb,"['E', 'I']","[5084, 5085]",19900715
2gbp,['A'],[225],19900715
