pdb_id,chains,clusters,release_date
3cpa,['A'],[2181],19820729
4cpa,"['A', 'B']","[3573, 3574]",19820729
7adh,['A'],[1063],19840718
2tbv,"['A', 'B', 'C']","[7184, 7184, 7184]",19840720
4sbv,[],[],19850717
3icb,['A'],[4383],19861024
1ton,['A'],[812],19880116
1etu,['A'],[103],19880716
1prc,"['C', 'L', 'M', 'H']","[108, 109, 835, 835]",19890109
1pfk,"['A', 'B']","[4389, 4389]",19890109
4pfk,['A'],[4389],19890109
7pcy,['A'],[38],19900715
1cla,['A'],[52],19900715
4sgb,"['E', 'I']","[4589, 4590]",19900715
6rxn,['A'],[3452],19910115
3tec,"['E', 'I']","[3187, 3295]",19920115
1ova,"['A', 'B']","[6820, 6820]",19920415
1mee,"['A', 'I']","[3187, 3295]",19921015
9rub,"['A', 'B']","[6841, 6841]",19930115
1tfd,['A'],[1461],19930415
3sdp,"['A', 'B']","[510, 510]",19930415
6xim,"['A', 'B', 'C', 'D']","[7922, 7922, 7922, 7922]",19930715
4mt2,['A'],[4215],19930715
1xlg,"['A', 'B']","[7922, 7922]",19930715
1ain,['A'],[718],19930715
2por,['A'],[1538],19930715
2aaa,['A'],[7559],19930715
1pca,['A'],[5414],19931031
1npc,['A'],[3800],19931031
1lfi,['A'],[184],19931031
1ala,['A'],[718],19931031
2plt,['A'],[38],19931031
1rro,['A'],[6196],19931031
1mda,"['H', 'L', 'J', 'M', 'A', 'B']","[1146, 1146, 1243, 1243, 2541, 2541]",19931031
2scp,"['A', 'B']","[1645, 1645]",19931031
8rxn,['A'],[3452],19931031
1cmc,"['A', 'B']","[55, 55]",19931031
1pob,"['A', 'B']","[3272, 3272]",19931031
1dr3,['A'],[8451],19931031
1plc,['A'],[38],19931031
2msb,"['A', 'B']","[7524, 7524]",19931031
1poc,['A'],[460],19931031
2sas,['A'],[971],19931031
2gli,['A'],[1225],19931109
1hc1,"['A', 'B', 'C', 'D', 'E', 'F']","[2466, 2466, 2466, 2466, 2466, 2466]",19940131
2mta,"['H', 'L', 'A', 'C']","[1146, 1243, 1416, 2541]",19940131
6ins,"['E', 'F']","[6918, 6918]",19940131
1led,['A'],[73],19940131
5sic,"['E', 'I']","[3295, 5916]",19940131
1srd,"['A', 'B', 'C', 'D']","[780, 780, 780, 780]",19940131
1thm,['A'],[3295],19940131
1top,['A'],[7712],19940131
1psh,"['A', 'B', 'C']","[3272, 3272, 3272]",19940131
