cluster	rep_chain	chain
1	1a0t:P	1a0t:P
1	1a0t:P	1a0t:Q
1	1a0t:P	1a0t:R
2	1a2x:B	1a2x:B
3	1a5t:A	1a5t:A
3	1a5t:A	3gli:E
4	1a6f:A	1a6f:A
5	1a7w:A	1a7w:A
6	1a8l:A	1a8l:A
7	1a8v:B	1a8v:B
8	1adv:B	1adv:A
8	1adv:B	1adv:B
8	1adv:B	1anv:A
9	1ajk:B	1ajk:B
9	1ajk:B	1cpn:A
9	1ajk:B	1zm1:A
9	1ajk:B	1zm1:B
9	1ajk:B	3axe:A
10	1ajo:B	1ajo:B
11	1ak0:A	1ak0:A
12	1amu:A	1amu:A
13	1ao0:A	1ao0:A
13	1ao0:A	1ao0:B
13	1ao0:A	1ao0:C
13	1ao0:A	1ao0:D
13	1ao0:A	1ecb:A
13	1ao0:A	1ecb:B
14	1aor:B	1aor:A
14	1aor:B	1aor:B
14	1aor:B	1b4n:A
14	1aor:B	1b4n:B
14	1aor:B	1b4n:C
14	1aor:B	1b4n:D
14	1aor:B	4z3w:A
14	1aor:B	4z3w:B
14	1aor:B	4z3w:C
14	1aor:B	4z3w:D
14	1aor:B	4z3x:A
14	1aor:B	4z3x:B
14	1aor:B	6x6u:A
14	1aor:B	6x6u:C
14	1aor:B	8c0z:A
14	1aor:B	8c0z:B
15	1asq:B	1asq:A
15	1asq:B	1asq:B
16	1atl:B	1atl:B
17	1au1:B	1au1:A
17	1au1:B	1au1:B
18	1auk:A	1auk:A
18	1auk:A	1e2s:P
18	1auk:A	1fsu:A
18	1auk:A	1p49:A
18	1auk:A	4fdj:A
18	1auk:A	4fdj:B
18	1auk:A	6b0k:A
18	1auk:A	6b0k:B
18	1auk:A	6b0k:C
18	1auk:A	6psm:D
18	1auk:A	6psm:F
18	1auk:A	6s20:C
18	1auk:A	7aj0:A
18	1auk:A	7aj0:B
18	1auk:A	7aj0:C
18	1auk:A	7aj0:D
18	1auk:A	7aj0:E
18	1auk:A	7aj0:F
18	1auk:A	8eg3:A
19	1avc:A	1avc:A
19	1avc:A	1m9i:A
20	1axk:A	1axk:A
20	1axk:A	1axk:B
21	1ayo:B	1ayo:A
21	1ayo:B	1ayo:B
22	1b0n:A	1b0n:A
23	1b0n:B	1b0n:B
24	1b23:P	1b23:P
24	1b23:P	1d2e:A
24	1b23:P	1d2e:B
24	1b23:P	1d2e:C
24	1b23:P	1d2e:D
24	1b23:P	1ob2:A
24	1b23:P	1ob5:A
24	1b23:P	1ob5:C
24	1b23:P	1ob5:E
24	1b23:P	2hdn:F
24	1b23:P	2hdn:H
24	1b23:P	4iw3:K
24	1b23:P	4j0q:E
24	1b23:P	4lbw:A
24	1b23:P	4zv4:A
24	1b23:P	5w75:C
24	1b23:P	5w76:A
24	1b23:P	6htw:B
24	1b23:P	6htw:H
24	1b23:P	6i8r:A
24	1b23:P	6mij:A
24	1b23:P	7vmx:B
24	1b23:P	7vok:C
24	1b23:P	8qfs:C
24	1b23:P	8qhc:C
25	1b2l:A	1b2l:A
26	1b4u:C	1b4u:A
26	1b4u:C	1b4u:C
27	1b4u:D	1b4u:B
27	1b4u:D	1b4u:D
28	1b57:B	1b57:A
28	1b57:B	1b57:B
28	1b57:B	3ekz:A
28	1b57:B	3qm3:C
28	1b57:B	3qm3:D
28	1b57:B	4a22:A
28	1b57:B	4a22:B
28	1b57:B	4lv4:A
28	1b57:B	7rgn:A
28	1b57:B	7v6g:A
28	1b57:B	7v6g:B
29	1b9z:A	1b9z:A
30	1bf2:A	1bf2:A
31	1bk5:B	1bk5:A
31	1bk5:B	1bk5:B
31	1bk5:B	1wa5:B
32	1bl3:B	1bl3:A
32	1bl3:B	1bl3:B
32	1bl3:B	1bl3:C
32	1bl3:B	5oi2:A
32	1bl3:B	8a1p:B
32	1bl3:B	8a1p:D
33	1bnl:C	1bnl:C
33	1bnl:C	1dy0:A
34	1bob:A	1bob:A
35	1brw:B	1brw:A
35	1brw:B	1brw:B
36	1bvn:T	1bvn:T
37	1bx4:A	1bx4:A
37	1bx4:A	4o1l:A
37	1bx4:A	4o1l:B
38	1bxv:A	1bxv:A
38	1bxv:A	1byo:B
38	1bxv:A	1iuz:A
38	1bxv:A	1kdi:A
38	1bxv:A	1pcs:A
38	1bxv:A	1plb:A
38	1bxv:A	1plc:A
38	1bxv:A	1tef:A
38	1bxv:A	1tu2:A
38	1bxv:A	2plt:A
38	1bxv:A	2q5b:C
38	1bxv:A	2w88:A
38	1bxv:A	2w88:B
38	1bxv:A	2w88:C
38	1bxv:A	2w8c:A
38	1bxv:A	5fc9:A
38	1bxv:A	5fc9:B
38	1bxv:A	5fc9:C
38	1bxv:A	5fc9:D
38	1bxv:A	7pcy:A
39	1c0g:S	1c0g:S
39	1c0g:S	1yvn:G
39	1c0g:S	5zz0:A
39	1c0g:S	6i4i:G
39	1c0g:S	6i4m:G
40	1c0w:A	1b1b:A
40	1c0w:A	1c0w:A
40	1c0w:A	1c0w:C
40	1c0w:A	1c0w:D
41	1c39:B	1c39:A
41	1c39:B	1c39:B
42	1c3x:A	1c3x:A
42	1c3x:A	1c3x:B
42	1c3x:A	1c3x:C
42	1c3x:A	1fxu:A
42	1c3x:A	1lvu:A
42	1c3x:A	1lvu:B
42	1c3x:A	1lvu:C
42	1c3x:A	1lvu:D
42	1c3x:A	1lvu:E
42	1c3x:A	1lvu:F
43	1c8n:B	1c8n:A
43	1c8n:B	1c8n:B
43	1c8n:B	1c8n:C
43	1c8n:B	1smv:A
43	1c8n:B	1smv:B
43	1c8n:B	1smv:C
43	1c8n:B	1vak:A
43	1c8n:B	1x35:A
43	1c8n:B	1x35:B
43	1c8n:B	1x35:C
43	1c8n:B	1x36:A
44	1c9k:B	1c9k:A
44	1c9k:B	1c9k:B
44	1c9k:B	1c9k:C
45	1c9p:B	1c9p:B
46	1ci3:M	1ci3:M
47	1ci6:A	1ci6:A
48	1ci6:B	1ci6:B
49	1cjy:B	1cjy:B
50	1ck7:A	1ck7:A
50	1ck7:A	1gxd:B
51	1ckl:E	1ckl:E
51	1ckl:E	2o39:D
52	1cla:A	1cla:A
52	1cla:A	1q23:A
52	1cla:A	1q23:B
52	1cla:A	1q23:C
53	1clv:I	1clv:I
54	1cm4:B	1cm4:B
55	1cmc:B	1cmc:A
55	1cmc:B	1cmc:B
56	1coj:A	1coj:A
57	1cpr:A	1cpr:A
58	1cq1:A	1cq1:A
58	1cq1:A	1cq1:B
59	1cqi:D	1cqi:A
59	1cqi:D	1cqi:D
59	1cqi:D	3ufx:A
59	1cqi:D	3ufx:F
59	1cqi:D	3ufx:H
59	1cqi:D	6mgg:A
59	1cqi:D	7msr:A
60	1cyy:A	1cyy:A
