PDB ID,n,N
13pk,4.0,1
1a05,2.0,2
1a0c,4.0,4
1a0d,4.0,4
1a0e,2.0,4
1a0j,4.0,4
1a0t,3.0,3
1a1j,3.0,1
1a25,2.0,2
1a2q,1.0,1
1a2x,2.0,2
1a3w,2.0,4
1a3x,2.0,2
1a47,1.0,1
1a4a,2.0,1
1a4c,4.0,2
1a4v,1.0,1
1a5t,1.0,2
1a65,1.0,1
1a6e,2.0,8
1a6f,1.0,2
1a6q,1.0,1
1a75,2.0,1
1a76,1.0,1
1a7w,1.0,2
1a8a,1.0,1
1a8l,1.0,2
1a8v,2.0,1
1adv,2.0,2
1aei,6.0,6
1af0,1.0,1
1af2,1.0,2
1ag9,2.0,2
1agn,4.0,2
1aih,4.0,2
1aii,1.0,1
1ain,1.0,1
1ajj,1.0,1
1ajk,2.0,1
1ajo,2.0,1
1ak0,1.0,1
1ala,1.0,1
1amu,2.0,1
1amy,1.0,1
1anv,1.0,1
1ao0,4.0,4
1aor,2.0,2
1asq,2.0,2
1atj,6.0,6
1atl,2.0,1
1au1,2.0,2
1auk,1.0,8
1avc,1.0,1
1avm,2.0,4
1axk,2.0,2
1axz,1.0,2
1aye,1.0,1
1ayo,2.0,2
1ayp,6.0,2
1b06,6.0,4
1b09,5.0,5
1b0n,2.0,2
1b1b,1.0,1
1b23,2.0,1
1b2j,1.0,1
1b2l,1.0,2
1b4n,4.0,4
1b4t,1.0,2
1b4u,4.0,4
1b57,2.0,2
1b66,2.0,6
1b6z,2.0,2
1b8a,2.0,2
1b8l,1.0,1
1b9z,1.0,1
1bc2,2.0,2
1bf2,1.0,1
1bfv,2.0,4
1bg9,1.0,2
1bgp,1.0,2
1bh6,1.0,1
1bho,2.0,2
1bi0,1.0,1
1bif,1.0,2
1bit,1.0,1
1bjf,2.0,2
1bjj,6.0,1
1bk4,1.0,4
1bk5,2.0,2
1bk9,1.0,1
1bl3,3.0,6
1blf,1.0,1
1bmo,2.0,2
1bnl,4.0,1
1bob,1.0,1
1bqb,1.0,1
1bqp,4.0,2
1br1,8.0,2
1br2,6.0,1
1bra,1.0,2
1brw,2.0,2
1bs1,1.0,1
1bsw,1.0,1
1bt0,1.0,1
1btg,3.0,3
1bu3,1.0,2
1bug,2.0,1
1bvi,4.0,4
1bvn,2.0,2
1bwn,2.0,4
1bx4,1.0,1
1bxv,1.0,1
1byo,2.0,1
1bzx,2.0,2
1c0g,2.0,2
1c0w,6.0,4
1c39,2.0,2
1c3r,2.0,2
1c3s,1.0,1
1c3x,3.0,3
1c4g,2.0,2
1c7k,1.0,1
1c8f,1.0,5
1c8n,3.0,3
1c8y,1.0,1
1c9k,3.0,3
1c9p,2.0,2
1ca1,1.0,2
1cdo,2.0,2
1cg2,4.0,4
1ch8,1.0,1
1ci3,1.0,1
1ci6,2.0,2
1cit,3.0,1
1cjy,2.0,1
1ck1,1.0,2
1ck6,1.0,1
1ck7,1.0,1
1ckl,6.0,1
1cla,1.0,6
1clc,1.0,1
1clv,2.0,2
1clx,4.0,2
1cm4,2.0,1
1cm8,2.0,1
1cmc,2.0,2
1cnz,2.0,2
1coj,1.0,4
1cp9,2.0,2
1cpn,1.0,1
1cpr,1.0,1
1cq1,2.0,2
1cqi,4.0,4
1cs4,3.0,3
1csn,1.0,2
1cul,3.0,3
1cvl,1.0,1
1cvr,1.0,1
1cw0,4.0,1
1cyg,1.0,1
1cyy,2.0,4
1czf,2.0,1
1d0b,1.0,1
1d0k,1.0,1
1d0q,2.0,2
1d2e,4.0,4
1d2i,4.0,2
1d3y,2.0,2
1d5a,1.0,1
1d6n,2.0,2
1d7u,1.0,4
1d7w,4.0,4
1d8h,3.0,2
1dam,1.0,2
1day,1.0,1
1dbi,1.0,1
1dbn,2.0,2
1dce,4.0,2
1dck,2.0,1
1dcq,1.0,1
1ddr,2.0,2
1ddz,2.0,2
1de6,4.0,4
1del,2.0,2
1dfk,3.0,3
1dfl,6.0,3
1dfx,1.0,2
1dg6,1.0,3
1dhk,2.0,4
1dhy,1.0,1
1dj9,1.0,1
1dl2,1.0,1
1dmh,2.0,2
1dmt,1.0,1
1dmu,2.0,2
1dmx,2.0,2
1do5,4.0,2
1doa,2.0,6
1dot,1.0,1
1dpo,1.0,1
1dq3,1.0,1
1dqi,4.0,4
1dqn,2.0,2
1dqv,1.0,4
1dr3,1.0,1
1ds5,8.0,2
1dtd,2.0,2
1dth,2.0,2
1dtl,1.0,1
1dtw,2.0,4
1du3,12.0,6
1dvf,4.0,4
1dvp,1.0,2
1dx8,1.0,1
1dxe,2.0,6
1dy0,1.0,1
1dyq,1.0,1
1dzi,4.0,1
1e0e,2.0,2
1e1h,4.0,4
1e29,1.0,1
1e2a,3.0,3
1e2s,1.0,2
1e3d,4.0,2
1e3i,2.0,2
1e3j,1.0,4
1e3z,1.0,1
1e4e,2.0,4
1e4u,1.0,1
1e5n,2.0,1
1e70,1.0,2
1e7l,2.0,2
1ea6,2.0,1
1eak,6.0,2
1eb0,1.0,2
1eb6,1.0,1
1ebo,6.0,6
1ecb,4.0,2
1ecq,4.0,4
1ee6,1.0,1
1ee8,2.0,2
1ef0,2.0,2
1egg,2.0,2
1egz,3.0,1
1ehi,2.0,2
1ei6,4.0,2
1ej6,5.0,5
1ej8,1.0,1
1ek0,1.0,1
1ek3,2.0,2
1ekb,3.0,1
1ekj,8.0,8
1ekx,3.0,3
1el1,2.0,1
1elt,1.0,1
1enc,1.0,1
1ept,3.0,3
1esl,1.0,1
1eso,1.0,1
1ete,4.0,2
1eth,4.0,3
1etu,1.0,1
1eu3,2.0,1
1eu4,1.0,1
1evw,12.0,2
1ew8,2.0,2
1ewc,1.0,1
1ewk,2.0,2
1ex9,1.0,1
1exz,4.0,2
1eye,1.0,2
1eys,4.0,4
1ez1,2.0,2
1ezj,1.0,4
1ezw,1.0,4
1f0o,4.0,2
1f1v,2.0,4
1f1z,2.0,1
1f2i,12.0,2
1f2n,3.0,3
1f2u,4.0,4
1f3h,2.0,2
1f3z,1.0,2
1f48,1.0,1
1f4l,1.0,2
1f4n,2.0,2
1f4t,2.0,1
1f5a,1.0,1
1f5f,1.0,2
1f5n,1.0,1
1f5s,2.0,1
1f5t,6.0,4
1f62,1.0,1
1f66,10.0,8
1f6b,2.0,2
1f7l,1.0,3
1f7n,2.0,3
1f7r,1.0,3
1f82,1.0,1
1f8f,1.0,4
1f8v,7.0,3
1f9b,1.0,1
1f9o,1.0,1
1fa5,2.0,2
1fat,4.0,4
1fay,8.0,2
1fbl,1.0,2
1fdk,1.0,2
1fft,8.0,4
1ffy,2.0,1
1fgm,1.0,1
1fhf,3.0,1
1fhv,1.0,1
1fic,2.0,2
1fio,1.0,1
1flg,2.0,2
1flj,1.0,1
1fml,2.0,1
1fn9,2.0,2
1fnz,1.0,4
1fqj,5.0,3
1fqk,4.0,2
1frw,1.0,8
1fs8,1.0,2
1fsu,1.0,1
1fui,6.0,3
1fuk,1.0,1
1fvu,4.0,4
1fwa,3.0,9
1fwk,4.0,4
1fwz,1.0,2
1fx4,1.0,2
1fx5,2.0,2
1fx7,4.0,2
1fxu,1.0,3
1fxw,2.0,2
1fzd,8.0,4
1g0i,2.0,2
1g12,1.0,1
1g15,1.0,1
1g16,4.0,4
1g17,2.0,2
1g1r,4.0,4
1g29,2.0,4
1g2d,6.0,1
1g33,1.0,1
1g3u,1.0,2
1g42,1.0,1
1g43,1.0,1
1g4u,2.0,2
1g5b,3.0,1
1g5c,6.0,2
1g67,2.0,1
1g71,2.0,1
1g73,4.0,2
1g7a,8.0,3
1g7y,6.0,2
1g8k,8.0,2
1g8x,2.0,2
1g9x,3.0,1
1ga2,2.0,1
1ga8,1.0,1
1gag,2.0,1
1gax,4.0,1
1gbg,1.0,1
1ge7,2.0,2
1gg1,4.0,4
1ggq,4.0,4
1ggz,1.0,1
1gjp,1.0,8
1gk9,2.0,2
1gkd,2.0,2
1gkp,6.0,4
1gkr,4.0,4
1gl4,2.0,2
1gl9,2.0,1
1glc,2.0,8
1glj,2.0,2
1gm5,4.0,1
1gmw,4.0,4
1gn1,8.0,2
1gn6,4.0,4
1gnf,1.0,1
1go8,1.0,2
1gp5,1.0,1
1gp7,3.0,1
1gpc,1.0,1
1gpl,1.0,1
1gq2,16.0,4
1gq7,6.0,6
1gq9,2.0,2
1gqh,4.0,2
1gqm,12.0,6
1gqy,2.0,2
1gr0,1.0,4
1gr3,1.0,3
1gsa,1.0,4
1gt7,20.0,8
1gtl,4.0,1
1gtt,4.0,1
1gui,1.0,1
1gun,6.0,6
1gv3,2.0,2
1gv8,1.0,1
1gvf,2.0,4
1gvg,1.0,1
1gvy,1.0,1
1gw9,1.0,4
1gwm,1.0,1
1gwn,2.0,1
1gx6,1.0,2
1gxd,4.0,2
1gy1,2.0,1
1gy9,2.0,4
1gyc,1.0,1
1gyg,2.0,3
1gyt,12.0,6
1gzg,2.0,8
1gzm,2.0,2
1h0h,4.0,2
1h1a,2.0,1
1h1l,4.0,4
1h1z,2.0,2
1h2b,2.0,4
1h30,1.0,1
1h3g,2.0,1
1h41,2.0,2
1h4b,1.0,1
1h4q,3.0,2
1h4w,1.0,1
1h5h,1.0,1
1h5v,1.0,1
1h65,3.0,2
1h6g,2.0,1
1h6x,1.0,1
1h74,4.0,2
1h76,1.0,1
1h7v,1.0,1
1h80,2.0,1
1h8l,1.0,1
1h9w,2.0,2
1ha5,4.0,1
1hc1,6.0,6
1hcu,4.0,1
1hdf,2.0,4
1he8,2.0,2
1hfe,4.0,2
1hfx,1.0,1
1hi9,5.0,10
1hk7,2.0,1
1hkb,2.0,1
1hkk,1.0,1
1hld,2.0,2
1hlk,2.0,1
1hlz,4.0,2
1hm3,1.0,1
1hm9,2.0,3
1hmk,1.0,2
1hp7,1.0,1
1hpl,2.0,1
1hqc,2.0,1
1hql,2.0,4
1hqr,4.0,3
1hr8,12.0,2
1ht9,2.0,2
1htb,2.0,2
1htn,1.0,3
1htw,3.0,1
1huh,1.0,1
1hup,1.0,3
1hv5,6.0,1
1hw7,1.0,2
1hxp,2.0,2
1hxr,2.0,1
1hyo,2.0,2
1hz5,2.0,2
1i1i,1.0,2
1i3j,3.0,1
1i3m,2.0,2
1i3o,6.0,6
1i4a,1.0,3
1i5a,2.0,2
1i6n,1.0,1
1i6q,1.0,1
1i6v,5.0,5
1i74,2.0,2
1i75,2.0,2
1i7q,4.0,4
1i7w,4.0,4
1i8a,1.0,1
1i9b,5.0,10
1i9z,1.0,1
1ia7,1.0,1
1iah,2.0,2
1iaq,3.0,1
1iau,2.0,1
1ibq,2.0,1
1ibr,4.0,2
1iby,4.0,3
1id0,1.0,1
1id2,3.0,1
1id3,10.0,8
1id5,3.0,6
1igb,1.0,2
1ii0,2.0,2
1ii7,2.0,2
1ij6,1.0,1
1ijl,2.0,2
1ik3,1.0,1
1im5,1.0,1
1iml,1.0,1
1inp,1.0,1
1inw,1.0,1
1io0,1.0,1
1iod,3.0,3
1iov,1.0,1
1ips,2.0,2
1iqb,2.0,2
1iqc,4.0,2
1ir3,2.0,2
1ir6,1.0,1
1irj,8.0,2
1iro,1.0,3
1irx,2.0,1
1isc,2.0,2
1itu,2.0,2
1itw,4.0,1
1itz,3.0,2
1iuj,2.0,4
1iuz,1.0,1
1iv4,6.0,3
1ivb,1.0,4
1ive,2.0,4
1iwl,1.0,1
1ix1,2.0,2
1ixx,6.0,6
1iym,1.0,1
1iyx,2.0,2
1izc,1.0,6
1j0n,1.0,1
1j24,1.0,2
1j2b,4.0,2
1j2x,2.0,1
1j30,2.0,6
1j35,3.0,3
1j3n,2.0,2
1j3r,2.0,2
1j53,1.0,1
1j55,1.0,2
1j5u,1.0,1
1j6w,2.0,2
1j6x,2.0,2
1j6z,1.0,1
1j7j,2.0,1
1j84,1.0,1
1j8e,1.0,1
1j9k,2.0,4
1j9l,2.0,2
1j9y,1.0,1
1ja8,2.0,4
1jae,1.0,1
1jaw,1.0,1
1jbk,1.0,1
1jbw,1.0,1
1jc9,1.0,1
1jcc,3.0,3
1jcg,1.0,1
1jdb,8.0,8
1jdf,4.0,2
1je5,2.0,2
1jee,2.0,6
1jer,1.0,2
1jfz,4.0,2
1jgt,2.0,2
1jhn,1.0,1
1jiw,2.0,2
1jjc,2.0,4
1jjd,1.0,1
1jje,2.0,1
1jk0,2.0,2
1jk3,1.0,2
1jk9,4.0,4
1jke,4.0,8
1jkk,1.0,1
1jkv,6.0,6
1jl5,1.0,4
1jlk,2.0,2
1jls,4.0,4
1jm0,6.0,2
1jmj,2.0,2
1jml,1.0,1
1jmu,9.0,9
1jnf,1.0,1
1job,1.0,2
1joc,2.0,2
1jod,2.0,1
1joi,1.0,1
1jp4,1.0,1
1jpm,4.0,4
1jqa,1.0,8
1jqg,1.0,1
1jqn,1.0,4
1jqw,1.0,2
1jr9,1.0,2
1jrp,8.0,4
1js9,3.0,3
1jt1,1.0,1
1jtd,2.0,2
1jug,1.0,1
1juy,1.0,2
1jwb,2.0,4
1jwq,1.0,1
1jwy,1.0,1
1jyl,4.0,4
1jym,10.0,10
1jz7,4.0,4
1jzj,2.0,1
1jzn,5.0,10
1jzq,1.0,1
1k0w,6.0,4
1k12,1.0,1
1k1d,8.0,4
1k1e,12.0,8
1k1y,2.0,1
1k24,1.0,1
1k2f,2.0,2
1k3i,1.0,1
1k4p,1.0,2
1k5g,12.0,3
1k68,2.0,2
1k6d,2.0,2
1k6y,4.0,4
1k72,2.0,2
1k77,1.0,1
1k7h,2.0,1
1k82,12.0,1
1k94,2.0,2
1k9i,10.0,10
1k9j,2.0,2
1k9u,2.0,2
1k9z,1.0,1
1ka2,1.0,2
1kae,2.0,2
1kap,2.0,1
1kb0,1.0,1
1kb2,4.0,2
1kb4,4.0,2
1kbf,1.0,1
1kbv,6.0,3
1kc1,1.0,2
1kc7,1.0,2
1kdi,1.0,1
1kea,1.0,1
1keq,2.0,1
1kfi,2.0,2
1kgz,2.0,2
1kho,2.0,1
1khw,2.0,1
1khz,2.0,2
1kic,2.0,2
1kjy,4.0,4
1kk1,1.0,1
1kk8,3.0,3
1kkc,4.0,4
1kkr,2.0,2
1kl9,1.0,1
1kli,2.0,2
1kmi,2.0,4
1kmp,1.0,1
1kn2,2.0,4
1kol,2.0,4
1kop,2.0,2
1kq3,1.0,1
1kqp,2.0,2
1kre,2.0,1
1ksc,1.0,1
1ksj,2.0,2
1ktg,2.0,1
1ktw,2.0,1
1kv9,1.0,1
1kvk,1.0,2
1kwk,1.0,3
1kwm,2.0,1
1kwo,3.0,3
1kya,4.0,1
1kyt,2.0,2
1kzy,4.0,4
1l0i,1.0,1
1l0o,3.0,3
1l0y,4.0,2
1l1o,6.0,6
1l3j,1.0,6
1l3p,1.0,2
1l3w,1.0,1
1l5y,2.0,2
1l6j,1.0,1
1l7o,2.0,2
1l8s,2.0,2
1l8x,2.0,2
1l9h,2.0,1
1l9n,2.0,2
1laj,4.0,3
1lan,1.0,6
1lat,4.0,2
1lba,1.0,1
1lbc,3.0,3
1lbu,1.0,1
1ldj,2.0,2
1ldk,5.0,5
1led,1.0,2
1lfi,1.0,1
1lfw,1.0,1
1lgb,3.0,6
1li7,2.0,1
1lkv,1.0,1
1lkx,4.0,1
1ll1,1.0,6
1llm,4.0,2
1llu,8.0,4
1lml,1.0,1
1lnl,3.0,6
1lom,1.0,2
1lon,1.0,2
1lp1,2.0,4
1lpb,2.0,2
1lph,4.0,2
1lpm,1.0,1
1lpz,2.0,1
1lqo,2.0,2
1lrh,4.0,2
1lru,3.0,2
1lrw,4.0,4
1lry,1.0,1
1lt8,2.0,4
1ltx,4.0,3
1lu1,1.0,4
1lv3,1.0,1
1lvu,6.0,6
1lw4,4.0,4
1lwj,2.0,2
1lws,3.0,1
1lzi,1.0,2
1m0w,2.0,2
1m1b,2.0,4
1m1j,10.0,6
1m2a,2.0,2
1m2k,1.0,1
1m2n,2.0,2
1m2o,4.0,4
1m2v,2.0,2
1m2x,4.0,1
1m3u,10.0,10
1m3v,1.0,1
1m3x,3.0,3
1m4m,1.0,1
1m4z,2.0,2
1m55,2.0,1
1m57,8.0,4
1m5h,8.0,4
1m63,8.0,6
1m68,1.0,3
1m74,1.0,2
1m8t,6.0,1
1m9i,1.0,1
1ma1,6.0,4
1mb0,1.0,1
1mbx,4.0,2
1mc1,2.0,1
1mc3,2.0,4
1mcx,1.0,1
1mda,6.0,6
1mdl,1.0,8
1mdw,2.0,1
1me7,1.0,4
1mee,2.0,2
1mey,7.0,1
1mfm,1.0,1
1mfu,1.0,1
1mhy,3.0,6
1miw,2.0,2
1mji,4.0,2
1mkd,12.0,6
1mkm,2.0,4
